Country,XS 64 GB,XS Max 64 GB,XR 64 GB
Australia,1160.03,1281.09,875.19
Austria,1289.24,1401.45,952.63
Belgium,1300.46,1412.67,963.85
Brazil,1887.12,2068.10,1344.17
Canada,1033.69,1138.64,771.34
China,1296.08,1430.17,968.29
Czech Republic,1305.00,1435.54,978.64
Denmark,1337.61,1472.89,1006.93
Finland,1322.90,1435.11,986.29
France,1296.29,1408.49,959.67
Germany,1289.24,1401.45,952.63
Hong Kong,1095.43,1210.09,827.91
Hungary,1395.66,1535.23,1046.74
India,1377.77,1580.83,1015.20
Ireland,1322.90,1435.11,986.29
Italy,1334.12,1446.33,997.51
Japan,1014.44,1122.36,762.63
Korea,1208.09,1322.73,873.00
Luxembourg,1257.47,1365.98,931.99
Malaysia,1224.16,1322.12,881.33
Mexico,1274.83,1404.92,962.62
Netherlands,1300.46,1412.67,963.85
New Zealand,1295.67,1432.13,954.53
Norway,1338.99,1478.83,1012.69
Philippines,1297.52,1431.11,973.09
Poland,1300.27,1430.85,973.84
Portugal,1322.90,1435.11,986.29
Russia,1345.04,1482.62,1010.30
Singapore,1217.51,1328.26,907.41
Spain,1300.46,1412.67,963.85
Sweden,1380.28,1509.73,1024.29
Switzerland,1201.98,1302.23,881.18
Taiwan,1165.42,1295.27,873.25
Thailand,1258.04,1384.16,942.74
Turkey,1801.32,1965.09,1346.39
UAE,1151.29,1265.63,865.44
United Kingdom,1312.69,1444.09,984.19
United States,999.00,1099.00,749.00
